Provider Name,Provider Guid,EventID,Level,Task,Opcode,Keywords,TimeCreated SystemTime,EventRecordID,Correlation ActivityID,Execution ProcessID,Execution ThreadID,Channel,Computer,Security UserID,param1,param2
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:52:38.570852,2326,{5c725f44-5ff4-0000-a757-865cf45fd701},19228,12928,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,19228,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:54:05.213203,2329,{5c725f44-5ff4-0003-2e21-7d5cf45fd701},14960,18376,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,14960,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:56:28.760185,2332,{5c725f44-5ff4-0002-be36-865cf45fd701},15804,7556,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15804,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:56:36.078989,2335,{5c725f44-5ff4-0000-8c73-865cf45fd701},9156,4472,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,9156,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:57:42.502661,2338,{5c725f44-5ff4-0002-093d-865cf45fd701},1048,11200,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,1048,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 10:10:30.645498,2343,{5c725f44-5ff4-0001-cb2e-7e5cf45fd701},13604,17100,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,13604,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 10:10:49.506441,2346,{5c725f44-5ff4-0003-8a3c-7d5cf45fd701},2452,7116,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,2452,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 13:24:51.155514,2349,{5c725f44-5ff4-0003-ad81-7d5cf45fd701},17804,10512,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,17804,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 20:24:38.890303,2352,{a98aa8bb-6223-0002-87f4-8aa92362d701},15472,15576,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,15472,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 20:24:44.127295,2355,{a98aa8bb-6223-0003-b8e9-8aa92362d701},15624,15740,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,15624,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-16 09:43:36.679214,2484,{a98aa8bb-6223-0002-001f-8fa92362d701},8736,14068,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,8736,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-16 09:44:40.888138,2487,{a98aa8bb-6223-0003-0329-8da92362d701},10612,14628,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,10612,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-16 10:25:48.484308,2493,{a98aa8bb-6223-0001-9146-8ea92362d701},7012,14932,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,7012,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-12 12:20:50.927988,1984,{7afa7b78-5f2d-0003-e2d1-fd7a2d5fd701},15488,6916,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15488,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-12 12:27:28.507219,1987,{7afa7b78-5f2d-0003-52e9-fd7a2d5fd701},6276,3052,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,6276,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-12 12:42:43.775311,1989,{7afa7b78-5f2d-0000-33a8-007b2d5fd701},15056,16716,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15056,LenovoCompanionAppPlugin
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-13 01:01:40.964169,1991,{7afa7b78-5f2d-0000-de10-0d7b2d5fd701},11828,7588,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,11828,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-13 01:01:42.059448,1994,{7afa7b78-5f2d-0000-e310-0d7b2d5fd701},11636,12656,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,11636,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-13 01:37:56.679165,2116,{5c725f44-5ff4-0003-196d-725cf45fd701},11988,12220,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,11988,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-13 01:38:06.843683,2119,{5c725f44-5ff4-0002-ee6f-725cf45fd701},9072,8988,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,9072,DefaultAppDomain
